Deck
1 Mountain (LEB) 297
1 Mountain (LEB) 297
1 Mountain (LEB) 297
1 Mountain (LEB) 297
1 Mountain (LEB) 297
1 Mountain (LEB) 298
1 Mountain (LEB) 298
1 Mountain (LEB) 298
1 Mountain (LEB) 298
1 Mountain (LEB) 298
1 Mountain (LEB) 298
1 Mountain (LEB) 299
1 Mountain (LEB) 299
1 Mountain (LEB) 299
1 Mountain (LEB) 299
1 Mountain (LEB) 299
1 Mountain (LEB) 299
1 Aladdin (ARN) 34
1 Ali Baba (ARN) 35
1 Ali Baba (ARN) 35
1 Ali from Cairo (ARN) 36
1 Bird Maiden (ARN) 37
1 Bird Maiden (ARN) 37
1 Bird Maiden (ARN) 37
1 Bird Maiden (ARN) 37
1 Desert Nomads (ARN) 38
1 Desert Nomads (ARN) 38
1 Desert Nomads (ARN) 38
1 Desert Nomads (ARN) 38
1 Hurr Jackal (ARN) 39
1 Hurr Jackal (ARN) 39
1 Hurr Jackal (ARN) 39
1 Hurr Jackal (ARN) 39
1 Kird Ape (ARN) 40
1 Kird Ape (ARN) 40
1 Kird Ape (ARN) 40
1 Kird Ape (ARN) 40
1 Magnetic Mountain (ARN) 41
1 Magnetic Mountain (ARN) 41
1 Mijae Djinn (ARN) 42
1 Rukh Egg (ARN) 43
1 Rukh Egg (ARN) 43
1 Rukh Egg (ARN) 43
1 Rukh Egg (ARN) 43
1 Ydwen Efreet (ARN) 44
