Deck
1 Plains (ODY) 331
1 Plains (ODY) 331
1 Plains (ODY) 331
1 Plains (ODY) 331
1 Plains (ODY) 331
1 Plains (ODY) 331
1 Plains (ODY) 332
1 Plains (ODY) 332
1 Plains (ODY) 332
1 Plains (ODY) 332
1 Plains (ODY) 333
1 Plains (ODY) 333
1 Plains (ODY) 333
1 Plains (ODY) 333
1 Plains (ODY) 333
1 Plains (ODY) 333
1 Plains (ODY) 334
1 Plains (ODY) 334
1 Plains (ODY) 334
1 Plains (ODY) 334
1 Plains (ODY) 334
1 Plains (ODY) 334
1 Battle Screech (JUD) 3
1 Battle Screech (JUD) 3
1 Battlewise Aven (JUD) 4
1 Benevolent Bodyguard (JUD) 5
1 Benevolent Bodyguard (JUD) 5
1 Benevolent Bodyguard (JUD) 5
1 Benevolent Bodyguard (JUD) 5
1 Border Patrol (JUD) 6
1 Border Patrol (JUD) 6
1 Funeral Pyre (JUD) 10
1 Golden Wish (JUD) 12
1 Guided Strike (JUD) 13
1 Guided Strike (JUD) 13
1 Guided Strike (JUD) 13
1 Lead Astray (JUD) 14
1 Nomad Mythmaker (JUD) 15
1 Phantom Flock (JUD) 16
1 Phantom Nomad (JUD) 17
1 Phantom Nomad (JUD) 17
1 Prismatic Strands (JUD) 18
1 Prismatic Strands (JUD) 18
1 Selfless Exorcist (JUD) 21
1 Shieldmage Advocate (JUD) 22
1 Soulcatchers' Aerie (JUD) 25
1 Soulcatchers' Aerie (JUD) 25
1 Spirit Cairn (JUD) 26
1 Spurnmage Advocate (JUD) 27
1 Spurnmage Advocate (JUD) 27
1 Suntail Hawk (JUD) 28
1 Suntail Hawk (JUD) 28
1 Suntail Hawk (JUD) 28
1 Test of Endurance (JUD) 29
1 Trained Pronghorn (JUD) 30
1 Unquestioned Authority (JUD) 31
1 Unquestioned Authority (JUD) 31
1 Valor (JUD) 32
1 Vigilant Sentry (JUD) 33
1 Vigilant Sentry (JUD) 33
